product_id,product_name,category,seller_id,unit_price,cost_price
PRD000000,Inverse background software,Health & Wellness,SLR00268,853.06,625.98
PRD000001,Sharable regional approach,Dairy & Poultry,SLR00250,579.3,403.81
PRD000002,Profound context-sensitive info-mediaries,Apparel,SLR00369,2362.95,1762.97
PRD000003,Compatible static time-frame,Handlooms,SLR00525,1127.88,633.64
PRD000004,Compatible 4thgeneration project,Apparel,SLR00591,703.79,409.44
PRD000005,Exclusive foreground info-mediaries,Dairy & Poultry,SLR00505,991.91,836.14
PRD000006,Intuitive reciprocal flexibility,Apparel,SLR00177,1871.98,1588.59
PRD000007,Enterprise-wide value-added orchestration,Electronics,SLR00546,133.95,103.68
PRD000008,Reverse-engineered context-sensitive alliance,Health & Wellness,SLR00258,613.58,384.67
PRD000009,Sharable context-sensitive encoding,Groceries,SLR00259,944.26,789.42
PRD000010,Polarized homogeneous structure,Electronics,SLR00134,551.71,338.81
PRD000011,Multi-tiered intermediate paradigm,Groceries,SLR00460,1660.41,1277.57
PRD000012,Switchable interactive policy,Handlooms,SLR00488,1763.96,1031.17
PRD000013,Enhanced zero-defect concept,Apparel,SLR00080,784.74,584.37
PRD000014,Re-contextualized grid-enabled emulation,Electronics,SLR00366,202.01,157.13
PRD000015,Focused national info-mediaries,Dairy & Poultry,SLR00058,712.51,575.63
PRD000016,Cross-group non-volatile extranet,Dairy & Poultry,SLR00073,357.16,275.12
PRD000017,Cross-group asymmetric product,Home & Kitchen,SLR00238,601.44,497.42
PRD000018,Quality-focused zero tolerance system engine,Handlooms,SLR00128,182.43,128.85
PRD000019,Ergonomic real-time service-desk,Handlooms,SLR00411,1654.41,1246.15
PRD000020,Ameliorated regional utilization,Dairy & Poultry,SLR00314,503.8,332.94
PRD000021,Focused zero tolerance utilization,Home & Kitchen,SLR00373,188.1,104.04
PRD000022,Integrated clear-thinking focus group,Groceries,SLR00436,637.01,494.96
PRD000023,Streamlined responsive collaboration,Apparel,SLR00137,430.62,349.21
